type,count
R1-6,3437
T2a,866
Tm3,858
T4c,842
T3,823
Mi1,796
L1,793
L2,791
L5,785
T4d,777
Tm1,775
Mi9,770
C3,768
Tm2,767
T5c,766
Mi4,765
T5b,760
Tm9,755
T4b,748
Tm20,744
C2,743
T5a,743
L3,738
T1,738
T4a,737
Tm4,734
T5d,727
T2,725
L4,724
R7,659
R8,655
Tm21,623
Dm2,598
TmY5a,572
Tm27,559
Dm3p,500
Mi15,480
Dm3q,456
Mi2,427
Tm5f,397
TmY3,359
Tm25,353
Mi13,350
Dm3v,320
Tm5c,308
Y3,305
Dm10,249
Tm5e,239
Tm7,234
Lai,231
Tm5b,226
TmY10,222
Tm5a,219
TmY4,211
Mi10,207
Dm15,201
Dm8b,197
Sm02,195
TmY9q__perp,189
TmY14,185
Dm8a,184
LC12,183
TmY11,178
Tm16,174
Tm5d,174
TmY9q,173
Lawf2,168
TmY31,156
Sm07,153
Lawf1,152
Sm01,144
LC17,142
TmY20,142
Tm36,141
TmY15,135
Dm9,128
Mi14,127
MeTu1,123
LC10a,121
Pm01,119
Tm8a,119
LLPC2,115
Tm37,114
LLPC1,113
Dm12,109
LC10c,102
LLPC3,102
LPLC2,102
Y12,97
LC10d,95
Pm03,94
Sm03,94
Li06,93
LC18,92
LC9,92
Li10,92
Pm02,88
Li05,86
Li01,84
Sm09,83
LPC1,82
Y1,82
Sm06,81
Sm08,81
Y4,79
Tm32,76
TmY16,76
Pm05,75
LC16,74
Sm04,74
Sm05,73
LPLC1,72
Sm12,72
LC13,70
Y11,68
Tlp1,67
Dm11,66
MeTu3c,65
LC21,62
LPC2,62
LC11,61
LC6,60
MeTu4a,60
Tm35,60
Pm08,59
Tm8b,59
LC28a,56
LPi09,56
Tm33,56
MLt3,55
LC15,54
LPLC4,54
Tm31,54
Sm15,53
LC10e,51
LPi04,51
LPi07,51
MeTu4c,51
LC4,50
MTe51,50
Li02,49
Tlp4,49
LPi02,48
MLt2,48
Dm20,47
MTe01a,47
LC22,46
Li03,46
MeTu3b,46
Li17,45
Dm16,44
MLt1,44
MLt4,44
LC10b,43
Sm10,43
cLP02,43
LPi05,42
Pm04,40
Dm4,39
MTe02,38
Pm09,38
Dm1,37
Tm34,37
LLPt,36
MLt5,36
MeTu2a,36
LC24,35
LMa5,34
Sm16,34
LMa4,33
Li11,32
Li13,32
Dm6,31
LC26,31
MLt6,30
LC25,29
MTe50,29
Sm32,29
Tlp14,29
LCe02,28
LMa1,28
MTe54,28
Sm20,28
aMe5,28
LMt2,27
LPi11,27
MTe01b,27
Sm19,27
Tlp5,27
cLP01,27
LC20a,26
Li09,26
Dm18,25
LCe03,25
Pm06,25
Dm13,24
MLt7,24
MTe03,24
MTe52,24
Pm10,24
DmDRA1,23
LC20b,23
LC29,23
LCe01b,23
LMt1,23
Sm22,23
LPi08,22
Li08,22
Sm21,22
Sm23,22
LPi10,21
Li12,21
LMa2,20
LMt4,20
LPTe01,20
MeTu3a,20
Sm13,20
cLP03,20
LC27,19
Sm14,19
LC40,18
LCe04,18
LMa3,18
LMt3,18
MTe04,18
MeTu4d,18
uncertain,18
LC31a,17
LC36,17
LPi06,17
Li16,17
Sm18,17
LPi01,16
LT52,16
Li04,16
Li15,16
Pm07,16
Pm11,16
LC33,15
Li18,15
Dm14,14
MLt8,14
MeTu2b,14
Li14,13
DmDRA2,12
LC45,12
LCe01a,12
MeTu4b,12
Sm30,12
Sm31,12
Dm19,11
LT51,11
LT57,11
Li21,11
MTe05,11
Li07,10
Sm26,10
LC37,9
Sm25,9
LCe05,8
LCe09,8
LTe64,8
Li22,8
MTe06,8
cL01,8
LC19,7
LC34,7
LC46,7
LPi03,7
LTe09,7
MTe53,7
Sm27,7
APDN3,6
LC41,6
LC43,6
LCe06,6
LCe07,6
LPTe02,6
LTe58,6
Lat,6
LatB,6
Li24,6
MTe08,6
PDt,6
Sm17,6
Sm34,6
Sm43,6
LC31b,5
LT81,5
LTe68,5
